img_name,mos
a2dc7a57553211efa973a68a9e2fa7c5.jpg,3.0
45cfcbcc654d11efb45852fe1602b694.jpg,4.0
451f3c4e654d11efb45852fe1602b694.jpg,3.0
9e5bc4cc553211efa973a68a9e2fa7c5.jpg,4.0
8368ac2e-5adc-11ef-be54-00163e19e613.jpg,3.0
269f4a05-5add-11ef-9bb8-043f72c07596.jpg,2.0
2c20cdd2654d11efb45852fe1602b694.jpg,4.0
462ff9fe654d11efb45852fe1602b694.jpg,3.0
c09b88cf-5adc-11ef-bbad-00163e12955c.jpg,3.0
dc5dd9cd562a11efb92c1423f28c69ac.jpg,2.0
2cb9f952654d11efb45852fe1602b694.jpg,2.0
c5cf2b45553211efa973a68a9e2fa7c5.jpg,3.0
bf91685e553211efa973a68a9e2fa7c5.jpg,2.0
ca05597d553211efa973a68a9e2fa7c5.jpg,2.0
abb1905e553211efa973a68a9e2fa7c5.jpg,2.0
a943b130553211efa973a68a9e2fa7c5.jpg,4.0
5cf64e6a-5ade-11ef-a4a9-0c42a12337d6.jpg,2.0
07ffe3a7654d11efb45852fe1602b694.jpg,3.0
236ccae9654d11efb45852fe1602b694.jpg,2.0
90b7fb2c553211efa973a68a9e2fa7c5.jpg,4.0
18302316-5adf-11ef-aedb-e8ebd3f23eb6.jpg,2.0
2754d046654d11efb45852fe1602b694.jpg,2.0
4b9cd9ea654d11efb45852fe1602b694.jpg,4.0
2fdeb6d0654d11efb45852fe1602b694.jpg,3.0
1824ab5d654d11efb45852fe1602b694.jpg,3.0
833b47b5-5adc-11ef-8eb6-00163e2735d3.jpg,4.0
ac0f08d2553211efa973a68a9e2fa7c5.jpg,3.0
43c007e6654d11efb45852fe1602b694.jpg,2.0
4321e9e8654d11efb45852fe1602b694.jpg,2.0
92a16ff3-5adc-11ef-a63a-b83fd2ca89ba.jpg,2.0
0e421e9e654d11efb45852fe1602b694.jpg,3.0
c6c1a2aa553211efa973a68a9e2fa7c5.jpg,3.0
f3f50bb6654d11ef912900163e5a587a.jpg,2.0
a3064b84553211efa973a68a9e2fa7c5.jpg,3.0
272d50e9654d11efb45852fe1602b694.jpg,3.0
ff4d8c6f654d11ef912900163e5a587a.jpg,3.0
d24c2b6d562f11efaaff043f72c07356.jpg,2.0
1939b172654d11efb45852fe1602b694.jpg,3.0
b6adb1e0562f11efaaff043f72c07356.jpg,2.0
4f0e27e4654d11efb45852fe1602b694.jpg,2.0
d4cc0d83562a11efb92c1423f28c69ac.jpg,3.0
